date,indicator,max_temp,indicator,min_temp,igmin,min_grass,indicator,precipitation,pressure_cbl,wind_speed,indicator,max_10minute_wind,indicator,dir_10minute_wind,indicator,max_gust,sun,dos,global_radiation,soil,potential_evap,evap,smd_wd,smd_md,smd_pd,Latitude,Longitude,Station Name,year,month,day,temp_range,total_soil_moisture,wind_category,extreme_rain,heatwave,high_wind,sun_category,season
1979-11-07,0,-0.09,0,-0.23,0,4.8,0,2.15,988.2,-0.05,0,2.19,0,0.66,0,2.08,-1.07,0,160,-0.42,0.4,0.6,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,11,7,7.8,-2.3,W,1,1,1,Very Low,Winter
1979-11-08,0,-1.01,0,-0.79,0,2.6,2,-0.71,993.4,0.42,0,0.04,0,0.31,0,0.53,-0.07,0,437,-0.69,0.7,0.9,-1.11,-0.73,-1.04,53.43,-6.24,Dublin Airport,1979,11,8,5.8,-0.68,SW,0,1,1,Low,Winter
1979-11-09,0,-1.09,0,-1.13,0,0.2,2,-0.71,1002.1,0.42,0,0.04,0,1.83,0,0.12,0.6,0,505,-0.97,0.7,0.9,-0.83,-0.51,-1.04,53.43,-6.24,Dublin Airport,1979,11,9,6.9,-0.22,N,0,1,1,Moderate,Uncategorized
1979-11-10,0,-1.03,0,-1.24,1,-0.6,3,-0.71,1010.5,0.42,0,-0.26,0,0.31,0,-0.29,0.68,0,500,-1.1,0.7,0.9,-0.55,-0.29,-1.04,53.43,-6.24,Dublin Airport,1979,11,10,7.7,0.25,SW,0,1,1,Moderate,Uncategorized
1979-11-11,0,-0.36,0,-0.79,0,2.3,0,-0.46,1000.2,0.6,0,0.2,0,1.71,0,0.53,-0.88,0,248,-0.83,0.6,0.8,-0.47,-0.23,-1.04,53.43,-6.24,Dublin Airport,1979,11,11,9.0,0.38,N,0,1,1,Very Low,Winter
1979-11-12,0,-1.31,1,-1.47,1,-3.4,3,-0.71,1001.3,-0.72,0,-0.88,0,1.12,0,-0.91,1.11,0,519,-1.05,0.5,0.6,-0.27,-0.08,-1.04,53.43,-6.24,Dublin Airport,1979,11,12,7.3,0.72,NW,0,1,1,High,Uncategorized
1979-11-13,0,-1.25,1,-1.6,1,-5.3,0,0.53,991.0,-0.07,0,0.35,0,0.89,0,0.22,-0.64,0,250,-1.26,0.4,0.5,-1.15,-0.76,-1.04,53.43,-6.24,Dublin Airport,1979,11,13,8.2,-0.75,W,1,1,1,Very Low,Winter
1979-11-14,0,-1.36,0,-1.31,0,0.4,3,-0.71,983.5,0.74,0,0.04,0,0.66,0,0.22,0.19,0,401,-1.11,0.7,0.8,-0.87,-0.54,-1.04,53.43,-6.24,Dublin Airport,1979,11,14,6.4,-0.28,W,0,1,1,Moderate,Winter
1979-11-15,0,-1.38,1,-1.49,1,-1.9,3,-0.71,988.4,0.18,0,-0.57,0,1.01,0,-0.5,0.92,0,483,-1.31,0.5,0.6,-0.71,-0.42,-1.04,53.43,-6.24,Dublin Airport,1979,11,15,7.1,-0.02,W,0,1,1,Moderate,Uncategorized
1979-11-16,0,-1.29,0,-1.38,1,-2.5,3,-0.71,994.8,-0.36,0,-0.57,0,1.12,0,-0.81,0.86,0,447,-1.43,0.5,0.6,-0.51,-0.26,-1.04,53.43,-6.24,Dublin Airport,1979,11,16,7.0,0.32,NW,0,1,1,Moderate,Uncategorized
1979-11-17,0,-0.58,0,-0.79,1,-1.4,0,0.68,992.8,0.65,0,0.81,0,0.42,0,0.84,-1.07,0,126,-1.12,0.7,1.0,-1.35,-0.91,-1.04,53.43,-6.24,Dublin Airport,1979,11,17,7.9,-1.08,SW,1,1,1,Very Low,Winter
1979-11-18,0,-0.87,0,-0.45,0,2.1,2,-0.71,996.3,1.75,0,1.57,0,0.77,0,1.98,-0.05,0,350,-1.1,1.1,1.3,-0.95,-0.6,-1.04,53.43,-6.24,Dublin Airport,1979,11,18,5.0,-0.42,W,0,1,1,Low,Winter
1979-11-19,0,-0.81,0,-0.57,0,2.6,3,-0.71,1009.2,-1.21,0,-1.03,0,0.42,0,-1.01,-0.75,0,268,-0.98,0.4,0.6,-0.75,-0.45,-1.04,53.43,-6.24,Dublin Airport,1979,11,19,5.8,-0.08,SW,0,1,1,Very Low,Winter
1979-11-20,0,-0.5,0,-0.86,1,-5.0,3,-0.71,1017.7,-1.52,0,-1.64,0,-0.86,0,-1.63,-0.29,0,271,-1.13,0.3,0.4,-0.67,-0.39,-1.04,53.43,-6.24,Dublin Airport,1979,11,20,8.6,0.05,SE,0,1,1,Low,Winter
1979-11-21,0,-0.01,0,0.31,1,-0.2,0,-0.71,1017.8,-0.78,0,-0.72,0,0.19,0,-0.6,-0.61,0,285,-0.72,0.4,0.5,-0.51,-0.26,-1.01,53.43,-6.24,Dublin Airport,1979,11,21,5.8,0.37,SW,0,1,1,Very Low,Uncategorized
1979-11-22,0,-0.03,0,0.38,0,8.3,0,0.83,1012.0,0.51,0,0.5,0,0.31,0,0.53,-1.01,0,170,-0.38,0.4,0.6,-1.39,-1.1,-1.04,53.43,-6.24,Dublin Airport,1979,11,22,5.4,-1.32,SW,1,1,1,Very Low,Uncategorized
1979-11-23,0,-0.95,0,-0.59,0,4.9,0,2.15,1007.2,-0.49,0,-0.42,0,0.66,0,-0.19,-0.07,0,286,-0.6,0.3,0.3,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,11,23,5.2,-2.3,W,1,1,1,Low,Winter
1979-11-24,0,-0.99,0,-0.54,0,0.5,3,-0.71,1007.4,0.2,0,-0.11,0,0.31,0,0.12,0.06,0,313,-0.98,0.6,0.7,-1.15,-0.76,-1.04,53.43,-6.24,Dublin Airport,1979,11,24,4.8,-0.75,SW,0,1,1,Moderate,Winter
1979-11-25,0,-0.11,0,0.27,0,4.5,0,0.43,999.7,2.31,0,2.34,0,0.19,0,2.6,-1.07,0,100,-0.58,1.0,1.4,-1.39,-1.16,-1.04,53.43,-6.24,Dublin Airport,1979,11,25,5.5,-1.38,SW,1,1,1,Very Low,Uncategorized
1979-11-26,0,0.05,0,0.13,0,8.4,0,2.15,997.8,0.49,0,2.34,0,0.19,0,2.18,0.06,0,310,-0.19,0.2,0.3,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,11,26,6.9,-2.3,SW,1,1,1,Moderate,Uncategorized
1979-11-27,0,-0.07,0,0.13,0,6.1,0,1.38,1006.3,0.69,0,0.5,0,0.19,0,0.74,-1.07,0,123,-0.32,0.4,0.6,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,11,27,6.3,-2.3,SW,1,1,1,Very Low,Uncategorized
1979-11-28,0,0.52,0,0.87,0,5.0,2,-0.71,1005.5,0.09,0,0.04,0,0.07,0,0.22,-1.07,0,146,-0.19,0.8,0.9,-1.07,-0.7,-1.04,53.43,-6.24,Dublin Airport,1979,11,28,5.9,-0.62,SW,0,1,1,Very Low,Uncategorized
1979-11-29,0,0.74,0,1.42,0,10.0,2,-0.71,1002.6,-0.05,0,-0.26,0,0.31,0,-0.19,-1.07,0,131,-0.06,1.3,1.4,-0.59,-0.32,-1.04,53.43,-6.24,Dublin Airport,1979,11,29,4.6,0.18,SW,0,1,1,Very Low,Uncategorized
1979-11-30,0,0.17,0,0.9,0,9.6,2,-0.71,997.4,2.08,0,2.19,0,0.19,0,2.39,-0.32,0,250,-0.11,0.9,1.0,-0.23,-0.05,-1.04,53.43,-6.24,Dublin Airport,1979,11,30,4.1,0.78,SW,0,1,1,Low,Uncategorized
1979-12-01,0,-0.05,0,0.33,0,6.1,2,-0.71,1002.2,1.63,0,1.27,0,0.19,0,1.25,-0.48,0,266,-0.27,0.7,0.8,0.04,0.17,-1.04,53.43,-6.24,Dublin Airport,1979,12,1,5.5,1.25,SW,0,1,1,Low,Uncategorized
1979-12-02,0,-0.03,0,-0.0,0,8.9,0,2.15,999.2,0.38,0,1.27,0,0.07,0,0.95,-1.07,0,76,-0.22,0.5,0.7,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,12,2,7.1,-2.3,SW,1,1,1,Very Low,Uncategorized
1979-12-03,0,-0.27,0,-0.09,0,2.6,0,2.15,1004.9,1.1,0,1.57,0,0.19,0,1.77,0.14,0,265,-0.61,0.6,0.7,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,12,3,6.3,-2.3,SW,1,1,1,Moderate,Winter
1979-12-04,0,0.03,0,0.31,0,2.7,0,2.15,999.5,1.77,0,2.64,0,0.07,0,2.8,-1.07,0,75,-0.47,0.9,1.2,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,12,4,6.0,-2.3,SW,1,1,1,Very Low,Uncategorized
1979-12-05,0,-0.78,0,-0.3,0,5.6,0,2.15,1002.2,-1.14,0,-0.88,0,0.54,0,-0.91,-0.13,0,283,-0.51,0.1,0.2,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,12,5,4.7,-2.3,W,1,1,1,Low,Winter
1979-12-06,0,-0.36,0,-0.32,1,-1.4,0,0.19,1005.3,-1.34,0,-0.88,0,0.31,0,-1.01,-1.07,0,113,-0.63,0.3,0.4,-1.39,-1.41,-1.04,53.43,-6.24,Dublin Airport,1979,12,6,6.9,-1.65,SW,0,1,1,Very Low,Winter
1979-12-07,0,0.05,0,0.99,0,6.7,0,0.98,995.6,0.16,0,-0.11,0,0.42,0,-0.19,-0.77,0,141,-0.25,0.5,0.6,-1.39,-1.84,-1.04,53.43,-6.24,Dublin Airport,1979,12,7,3.1,-2.12,SW,1,1,1,Very Low,Uncategorized
1979-12-08,0,-0.38,0,0.29,0,6.7,0,-0.46,988.4,0.04,0,0.35,0,0.54,0,0.22,-0.24,0,243,-0.32,0.4,0.5,-1.39,-0.97,-1.04,53.43,-6.24,Dublin Airport,1979,12,8,4.1,-1.18,W,0,1,1,Low,Uncategorized
1979-12-09,0,-0.15,0,0.47,0,5.0,0,2.15,974.0,1.59,0,1.73,0,0.42,0,1.56,-0.48,0,177,-0.45,1.0,1.2,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,12,9,4.4,-2.3,SW,1,1,1,Low,Uncategorized
1979-12-10,0,-0.89,0,-0.07,0,3.7,0,2.07,968.3,1.52,0,1.57,0,0.66,0,1.77,-0.42,0,185,-0.72,0.6,0.8,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,12,10,3.2,-2.3,W,1,1,1,Low,Winter
1979-12-11,0,-1.13,0,-0.79,0,3.5,0,0.38,983.2,0.13,0,0.35,0,1.47,0,0.02,-0.26,0,254,-0.9,0.3,0.3,-1.39,-1.53,-1.04,53.43,-6.24,Dublin Airport,1979,12,11,5.2,-1.78,NW,1,1,1,Low,Winter
1979-12-12,0,-0.38,0,-0.86,1,-2.0,0,-0.01,989.8,1.07,0,1.27,0,0.54,0,1.67,-0.93,0,65,-0.97,0.5,0.7,-1.39,-1.22,-1.04,53.43,-6.24,Dublin Airport,1979,12,12,9.2,-1.45,W,0,1,1,Very Low,Winter
1979-12-13,0,-1.09,0,-0.68,0,2.0,2,-0.71,983.2,0.42,0,1.57,0,0.31,0,1.46,-0.77,0,180,-0.96,0.8,0.9,-1.07,-0.7,-1.04,53.43,-6.24,Dublin Airport,1979,12,13,4.9,-0.62,SW,0,1,1,Very Low,Winter
1979-12-14,0,-1.46,0,-1.29,1,-2.5,0,2.15,973.2,-0.38,0,0.35,0,-0.86,0,0.12,-0.29,0,172,-1.36,0.2,0.3,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,12,14,5.8,-2.3,SE,1,1,1,Low,Winter
1979-12-15,0,-1.58,0,-1.04,1,-0.2,0,0.73,976.7,1.45,0,1.73,0,0.89,0,1.56,-0.72,0,179,-1.3,0.3,0.5,-1.39,-1.75,-1.04,53.43,-6.24,Dublin Airport,1979,12,15,4.1,-2.02,W,1,1,1,Very Low,Winter
1979-12-16,0,-0.68,0,-1.15,1,-2.3,0,-0.36,989.0,1.14,0,2.19,0,0.54,0,2.18,-1.07,0,121,-1.36,0.7,0.9,-1.39,-0.94,-1.04,53.43,-6.24,Dublin Airport,1979,12,16,9.0,-1.15,W,0,1,1,Very Low,Winter
1979-12-17,0,-1.48,0,-0.88,0,0.6,2,-0.71,994.3,3.43,0,2.95,0,0.54,0,2.6,0.41,0,266,-1.42,1.0,1.5,-0.99,-0.63,-1.04,53.43,-6.24,Dublin Airport,1979,12,17,3.9,-0.48,W,0,1,1,Moderate,Winter
1979-12-18,0,-1.74,0,-1.02,0,0.0,0,-0.21,1004.6,1.05,0,0.96,0,0.89,0,0.84,-0.58,0,195,-1.45,0.4,0.5,-1.23,-0.82,-1.04,53.43,-6.24,Dublin Airport,1979,12,18,3.2,-0.88,W,0,1,1,Very Low,Winter
1979-12-19,0,-1.56,0,-1.04,1,-2.8,2,-0.71,1015.6,0.45,0,0.04,0,1.24,0,-0.09,0.41,0,264,-1.6,0.4,0.5,-1.07,-0.7,-1.04,53.43,-6.24,Dublin Airport,1979,12,19,4.2,-0.62,NW,0,1,1,Moderate,Winter
1979-12-20,0,-1.87,0,-1.22,1,-5.3,3,-0.71,1020.0,-0.43,0,-0.88,0,1.24,0,-0.91,-0.77,0,189,-1.69,0.2,0.2,-0.99,-0.63,-1.04,53.43,-6.24,Dublin Airport,1979,12,20,3.5,-0.48,NW,0,1,1,Very Low,Winter
1979-12-21,0,-1.72,0,-1.0,1,-5.2,0,-0.51,1013.1,-0.83,0,-0.72,0,-1.09,0,-0.6,-1.04,0,131,-1.42,0.4,0.5,-1.03,-0.66,-1.04,53.43,-6.24,Dublin Airport,1979,12,21,3.2,-0.55,E,0,1,1,Very Low,Winter
1979-12-22,0,-1.93,1,-1.47,1,-6.4,3,-0.71,1000.8,-0.99,0,-0.57,0,-0.86,0,-0.4,-0.8,0,161,-1.71,0.6,0.7,-0.79,-0.48,-1.04,53.43,-6.24,Dublin Airport,1979,12,22,4.3,-0.15,SE,0,1,1,Very Low,Winter
1979-12-23,0,-1.97,0,-1.27,1,-3.9,0,0.68,993.0,-1.3,0,-1.03,0,0.77,0,-1.01,-1.07,0,46,-1.72,0.5,0.7,-1.39,-1.19,-1.04,53.43,-6.24,Dublin Airport,1979,12,23,3.2,-1.42,W,1,1,1,Very Low,Winter
1979-12-24,0,-1.5,1,-1.51,1,-3.7,3,-0.71,1001.2,-0.56,0,-0.88,0,0.54,0,-1.01,0.65,0,292,-1.75,0.2,0.2,-1.31,-0.88,-1.04,53.43,-6.24,Dublin Airport,1979,12,24,6.6,-1.02,W,0,1,1,Moderate,Uncategorized
1979-12-25,0,-0.87,0,-0.88,1,-4.9,0,-0.51,1003.2,0.27,0,0.2,0,-0.16,0,0.53,-0.1,0,202,-1.69,0.5,0.6,-1.27,-0.85,-1.04,53.43,-6.24,Dublin Airport,1979,12,25,6.9,-0.95,S,0,1,1,Low,Winter
1979-12-26,0,-0.72,0,-0.03,0,5.5,0,2.15,995.0,0.36,0,0.35,0,-0.39,0,1.56,-1.07,0,62,-1.09,0.6,0.8,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,12,26,3.8,-2.3,S,1,1,1,Very Low,Winter
1979-12-27,0,-0.78,0,-1.06,0,4.6,0,2.15,983.6,0.42,0,0.96,0,-0.74,0,1.56,-1.07,0,75,-1.03,0.3,0.5,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1979,12,27,8.1,-2.3,SE,1,1,1,Very Low,Winter
1979-12-28,0,-1.7,0,-1.31,1,-2.2,2,-0.71,991.1,0.78,0,0.81,0,0.07,0,0.74,-0.21,0,193,-1.61,0.4,0.6,-1.23,-0.82,-1.04,53.43,-6.24,Dublin Airport,1979,12,28,4.7,-0.88,SW,0,1,1,Low,Winter
1979-12-29,0,-2.05,0,-1.22,1,-1.6,2,-0.71,989.5,1.16,0,0.2,0,0.66,0,0.22,-0.96,0,153,-1.69,0.3,0.4,-1.11,-0.73,-1.04,53.43,-6.24,Dublin Airport,1979,12,29,2.6,-0.68,W,0,1,1,Very Low,Winter
1979-12-30,0,-2.03,1,-1.45,1,-1.4,3,-0.71,998.9,0.22,0,-0.42,0,0.89,0,-0.4,0.43,0,269,-1.8,0.1,0.1,-1.07,-0.7,-1.04,53.43,-6.24,Dublin Airport,1979,12,30,3.7,-0.62,W,0,1,1,Moderate,Winter
1979-12-31,0,-2.5,1,-1.78,1,-3.5,3,-0.71,1004.9,-0.65,0,-0.88,0,0.54,0,-1.01,-0.96,0,183,-1.87,0.1,0.2,-1.03,-0.66,-1.04,53.43,-6.24,Dublin Airport,1979,12,31,2.9,-0.55,W,0,0,1,Very Low,Winter
1980-01-01,0,-1.78,1,-1.94,1,-6.2,3,-0.71,1007.7,-1.03,0,-1.03,0,-2.14,0,-1.12,-0.29,0,187,-1.9,0.4,0.5,-0.87,-0.54,-1.04,53.43,-6.24,Dublin Airport,1980,1,1,7.1,-0.28,N,0,1,1,Low,Winter
1980-01-02,0,-1.48,1,-2.17,1,-9.9,0,0.63,1009.6,-0.58,0,0.2,0,-0.63,0,0.12,-0.26,0,234,-2.0,0.2,0.2,-1.39,-1.31,-1.04,53.43,-6.24,Dublin Airport,1980,1,2,9.6,-1.55,SE,1,1,1,Low,Winter
1980-01-03,0,-0.27,0,-0.0,1,-9.5,0,1.57,995.6,0.81,0,0.81,0,0.19,0,0.95,-1.07,0,68,-1.35,0.5,0.6,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1980,1,3,5.9,-2.3,SW,1,1,1,Very Low,Uncategorized
1980-01-04,0,-0.99,0,-0.43,0,1.2,0,-0.46,988.7,1.1,0,0.65,0,0.31,0,0.84,0.38,0,269,-1.29,0.5,0.6,-1.39,-0.94,-1.04,53.43,-6.24,Dublin Airport,1980,1,4,4.3,-1.15,SW,0,1,1,Moderate,Winter
1980-01-05,0,-1.19,0,-0.36,0,2.5,2,-0.71,995.0,1.41,0,0.81,0,0.77,0,0.74,0.01,0,261,-1.36,0.8,1.0,-1.07,-0.7,-1.04,53.43,-6.24,Dublin Airport,1980,1,5,3.0,-0.62,W,0,1,1,Moderate,Winter
1980-01-06,0,-1.36,0,-1.06,0,1.0,3,-0.71,1003.5,0.36,0,0.04,0,0.66,0,-0.09,0.57,0,297,-1.43,0.4,0.4,-0.91,-0.57,-1.04,53.43,-6.24,Dublin Airport,1980,1,6,5.3,-0.35,W,0,1,1,Moderate,Uncategorized
1980-01-07,0,-1.36,1,-1.42,1,-6.3,3,-0.71,1007.2,-0.49,0,-0.11,0,-0.74,0,-0.29,-0.83,0,190,-1.63,0.3,0.4,-0.83,-0.51,-1.04,53.43,-6.24,Dublin Airport,1980,1,7,6.9,-0.22,SE,0,1,1,Very Low,Winter
1980-01-08,0,-1.36,0,-0.3,1,-1.2,2,-0.71,1007.9,0.87,0,0.81,0,-0.63,0,1.25,-1.07,0,72,-1.34,0.9,1.1,-0.47,-0.23,-1.04,53.43,-6.24,Dublin Airport,1980,1,8,1.9,0.38,SE,0,1,1,Very Low,Winter
1980-01-09,0,-1.5,0,-0.43,0,4.5,0,2.15,1007.3,0.92,0,1.27,0,-0.63,0,1.46,-1.07,0,37,-1.22,0.8,1.0,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1980,1,9,1.8,-2.3,SE,1,1,1,Very Low,Winter
1980-01-10,0,-1.58,0,-1.06,1,-3.0,0,-0.56,1018.1,-1.39,0,-1.49,0,0.54,0,-1.43,-0.4,0,257,-1.35,0.1,0.2,-1.39,-1.0,-1.04,53.43,-6.24,Dublin Airport,1980,1,10,4.2,-1.22,W,0,1,1,Low,Winter
1980-01-11,0,-1.36,0,-1.27,1,-3.1,0,-0.51,1027.1,-0.94,0,-1.33,0,0.31,0,-1.22,-1.04,0,101,-1.42,0.2,0.3,-1.39,-1.0,-1.04,53.43,-6.24,Dublin Airport,1980,1,11,6.2,-1.22,SW,0,1,1,Very Low,Winter
1980-01-12,0,-1.91,1,-1.78,1,-4.5,3,-0.71,1031.9,-1.41,0,-1.49,0,0.89,0,-1.63,-0.96,0,191,-1.53,0.1,0.2,-1.35,-0.91,-1.04,53.43,-6.24,Dublin Airport,1980,1,12,5.8,-1.08,W,0,1,1,Very Low,Winter
1980-01-13,0,-1.56,1,-1.6,1,-2.8,2,-0.71,1023.7,-0.9,0,-0.72,0,0.31,0,-0.91,-1.07,0,144,-1.53,0.3,0.4,-1.23,-0.82,-1.04,53.43,-6.24,Dublin Airport,1980,1,13,6.7,-0.88,SW,0,1,1,Very Low,Winter
1980-01-14,0,-1.62,0,-1.02,1,-0.2,0,2.15,1011.5,0.78,0,0.96,0,-2.14,0,0.95,-0.56,0,203,-1.28,0.5,0.7,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1980,1,14,3.8,-2.3,N,1,1,1,Very Low,Winter
1980-01-15,0,-1.7,0,-1.02,1,-1.0,0,-0.31,1011.5,0.76,0,0.5,0,-1.91,0,0.22,-0.99,0,90,-1.46,1.0,1.3,-1.31,-0.88,-1.04,53.43,-6.24,Dublin Airport,1980,1,15,3.4,-1.02,NE,0,1,1,Very Low,Winter
1980-01-16,0,-2.05,1,-1.47,1,-5.0,3,-0.71,1014.3,-0.74,0,-1.33,0,1.71,0,-1.43,-1.04,0,148,-1.75,0.4,0.6,-1.15,-0.76,-1.04,53.43,-6.24,Dublin Airport,1980,1,16,3.7,-0.75,N,0,1,1,Very Low,Winter
1980-01-17,0,-2.07,0,-1.11,1,-0.1,2,-0.71,1009.4,-1.39,0,-1.18,0,1.71,0,-1.32,-1.07,0,82,-1.68,0.5,0.6,-0.95,-0.6,-1.04,53.43,-6.24,Dublin Airport,1980,1,17,2.0,-0.42,N,0,0,1,Very Low,Winter
1980-01-18,0,-1.76,0,-0.77,0,0.0,2,-0.71,997.7,-0.02,0,0.35,0,-0.63,0,0.22,-1.07,0,109,-1.58,0.8,1.1,-0.63,-0.36,-1.04,53.43,-6.24,Dublin Airport,1980,1,18,2.0,0.12,SE,0,1,1,Very Low,Winter
1980-01-19,0,-1.58,0,-1.27,0,2.7,0,2.15,985.9,0.02,0,0.35,0,-0.63,0,0.74,-1.07,0,26,-1.41,0.4,0.6,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1980,1,19,5.1,-2.3,SE,1,1,1,Very Low,Winter
1980-01-20,0,-1.52,0,-1.31,1,-1.7,0,0.38,983.8,0.25,0,1.27,0,-0.74,0,1.98,0.76,0,392,-1.59,0.4,0.4,-1.39,-1.5,-1.04,53.43,-6.24,Dublin Airport,1980,1,20,5.6,-1.75,SE,1,1,1,Moderate,Uncategorized
1980-01-21,0,-1.5,0,-0.88,1,-2.3,0,2.15,967.2,2.22,0,2.8,0,0.19,0,3.01,-1.07,0,64,-1.41,0.4,0.7,-1.39,-2.01,-1.04,53.43,-6.24,Dublin Airport,1980,1,21,3.8,-2.3,SW,1,1,1,Very Low,Winter
1980-01-22,0,-1.5,0,-0.72,0,1.6,2,-0.71,971.9,2.13,0,1.42,0,0.66,0,1.25,-0.64,0,229,-1.39,0.7,1.0,-1.11,-0.73,-1.04,53.43,-6.24,Dublin Airport,1980,1,22,3.1,-0.68,W,0,1,1,Very Low,Winter
1980-01-23,0,-1.44,0,-1.18,0,0.1,2,-0.71,980.3,0.25,0,-0.26,0,0.31,0,0.02,-0.16,0,323,-1.38,0.4,0.5,-0.95,-0.6,-1.04,53.43,-6.24,Dublin Airport,1980,1,23,5.4,-0.42,SW,0,1,1,Low,Winter
1980-01-24,0,-1.4,1,-1.45,1,-3.8,3,-0.71,993.8,-0.16,0,-0.72,0,0.54,0,-0.71,0.78,0,446,-1.65,0.3,0.4,-0.83,-0.51,-1.04,53.43,-6.24,Dublin Airport,1980,1,24,6.8,-0.22,W,0,1,1,Moderate,Uncategorized
1980-01-25,0,-1.42,0,-1.29,1,-2.9,3,-0.71,1008.1,-0.65,0,-1.03,0,0.54,0,-0.91,0.73,0,418,-1.72,0.3,0.4,-0.71,-0.42,-1.04,53.43,-6.24,Dublin Airport,1980,1,25,6.0,-0.02,W,0,1,1,Moderate,Uncategorized
1980-01-26,0,-1.5,0,-0.97,1,-7.0,3,-0.71,1017.2,-0.43,0,-0.26,0,-1.33,0,-0.5,0.46,0,404,-1.73,0.5,0.7,-0.51,-0.26,-1.04,53.43,-6.24,Dublin Airport,1980,1,26,4.2,0.32,E,0,1,1,Moderate,Winter
